GEO_ID,NAME,B01002_001E
0500000US47001,Anderson,43.1
0500000US47003,Bedford,38.3
0500000US47005,Benton,47.5
0500000US47007,Bledsoe,43.2
0500000US47009,Blount,43.9
0500000US47011,Bradley,39.7
0500000US47013,Campbell,44.1
0500000US47015,Cannon,41
0500000US47017,Carroll,43
0500000US47019,Carter,45.7
0500000US47021,Cheatham,40.2
0500000US47023,Chester,37.5
0500000US47025,Claiborne,42.7
0500000US47027,Clay,47
0500000US47029,Cocke,45.3
0500000US47031,Coffee,39.7
0500000US47033,Crockett,41.1
0500000US47035,Cumberland,51.8
0500000US47037,Davidson,34.4
0500000US47039,Decatur,46.5
0500000US47041,DeKalb,42.6
0500000US47043,Dickson,38.8
0500000US47045,Dyer,40.1
0500000US47047,Fayette,46.2
0500000US47049,Fentress,45.5
0500000US47051,Franklin,42
0500000US47053,Gibson,40
0500000US47055,Giles,43.6
0500000US47057,Grainger,46.2
0500000US47059,Greene,45
0500000US47061,Grundy,43.5
0500000US47063,Hamblen,40.7
0500000US47065,Hamilton,39.7
0500000US47067,Hancock,44.5
0500000US47069,Hardeman,40.7
0500000US47071,Hardin,45.4
0500000US47073,Hawkins,45.2
0500000US47075,Haywood,43
0500000US47077,Henderson,40.6
0500000US47079,Henry,45.8
0500000US47081,Hickman,41.3
0500000US47083,Houston,43.8
0500000US47085,Humphreys,41.7
0500000US47087,Jackson,47.4
0500000US47089,Jefferson,44.2
0500000US47091,Johnson,46.1
0500000US47093,Knox,37.4
0500000US47095,Lake,40.3
0500000US47097,Lauderdale,39.1
0500000US47099,Lawrence,39.4
0500000US47101,Lewis,42
0500000US47103,Lincoln,42.9
0500000US47105,Loudon,47.8
0500000US47107,McMinn,42.4
0500000US47109,McNairy,43.6
0500000US47111,Macon,38.4
0500000US47113,Madison,38.5
0500000US47115,Marion,43.2
0500000US47117,Marshall,39.7
0500000US47119,Maury,39.2
0500000US47121,Meigs,45.9
0500000US47123,Monroe,44.1
0500000US47125,Montgomery,31
0500000US47127,Moore,45.9
0500000US47129,Morgan,41.5
0500000US47131,Obion,42.4
0500000US47133,Overton,43.2
0500000US47135,Perry,43.1
0500000US47137,Pickett,50.7
0500000US47139,Polk,46.3
0500000US47141,Putnam,36.7
0500000US47143,Rhea,40
0500000US47145,Roane,47.3
0500000US47147,Robertson,39
0500000US47149,Rutherford,33.6
0500000US47151,Scott,39.4
0500000US47153,Sequatchie,44.4
0500000US47155,Sevier,42.9
0500000US47157,Shelby,35.7
0500000US47159,Smith,40.6
0500000US47161,Stewart,43.8
0500000US47163,Sullivan,45.3
0500000US47165,Sumner,39.6
0500000US47167,Tipton,38
0500000US47169,Trousdale,33.9
0500000US47171,Unicoi,47.4
0500000US47173,Union,42.5
0500000US47175,Van Buren,46.5
0500000US47177,Warren,40.1
0500000US47179,Washington,40.1
0500000US47181,Wayne,44
0500000US47183,Weakley,38.5
0500000US47185,White,43.3
0500000US47187,Williamson,39.3
0500000US47189,Wilson,40.2
0100000US,United States,38.2
0400000US47,Tennessee,38.8
